Page,Type,Title
1,Cover,IDEs & AI Coding Tools: A Beginner's Guide
2,Table of Contents,What We'll Cover Today
3,Chapter,01 — Understanding IDEs & VS Code
4,Content,What Is an IDE?
5,Content,VS Code: The Most Popular Code Editor
6,Content,The VS Code Extension Ecosystem
7,Chapter,02 — Command-Line AI Coding Tools
8,Content,Claude Code by Anthropic
9,Content,OpenAI Codex CLI
10,Chapter,03 — AI Extensions for Your IDE
11,Content,Cline: Autonomous Coding Agent
12,Content,Kilo Code: Speed-Focused AI Assistant
13,Chapter,04 — Workflow & Project Management Tools
14,Content,Cline Kanban & Task Management
15,Content,Choosing the Right Tool for Your Workflow
16,Final,Start Your AI-Powered Coding Journey
